OBJECTID,fips,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Sum_All_Years
30,08071,165.5149994,319.1770020,118.7939987,350.3529968,125.0019989,623.7969971,855.2470093,20.9290009,945.4010010,256.8380127,719.7360229,0.0000000,0.0000000,128.7310028,0.0000000,0.0000000,0.0000000,0.0000000,13.0970001,204.2489929,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,17.7010002,212.0000000,0.0000000,5076.5668945
31,08077,732.6370239,801.1270142,779.9260254,615.2119751,0.0000000,0.0000000,133.7680054,187.2050018,221.1280060,339.1730042,299.3609924,358.1679993,607.1510010,625.8870239,430.4360046,340.4580078,284.5400085,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6756.1772461
32,08081,637.7979736,548.4149780,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,857.0269775,524.7030029,0.0000000,745.0750122,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,931.8729858,897.4810181,294.2349854,0.0000000,0.0000000,0.0000000,0.0000000,446.0000000,0.0000000,5882.6064453
33,08085,41.8149986,0.0000000,0.0000000,0.0000000,60.7130013,178.7019958,46.5979996,0.0000000,0.0000000,231.9830017,290.2690125,380.3619995,374.2680054,361.6669922,386.3309937,321.7560120,359.4110107,364.7590027,370.7250061,386.3659973,352.8590088,413.3330078,420.7300110,405.6400146,405.8640137,402.9419861,373.7579956,293.0450134,360.0090027,27.0000000,216.4859924,7827.3906250
34,08103,144.9450073,199.8600006,198.9530029,658.5200195,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,542.6560059,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,174.0000000,350.0599976,2268.9941406
35,08107,1213.9770508,1431.1190186,1367.1280518,1536.5909424,1317.8909912,1397.4599609,1418.8640137,238.0200043,378.4110107,468.4330139,512.3870239,543.8610229,17.4340000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,57.1310005,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,516.0000000,0.0000000,12414.7060547
36,17009,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,472.8510132,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,472.8510132
37,17021,753.9169922,814.8590088,823.7800293,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,72.1589966,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,2464.7150879
38,17027,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
39,17041,1181.7779541,1430.3730469,979.8909912,963.5440063,977.8750000,767.3790283,0.0000000,994.7449951,629.8170166,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,7925.4018555
