Historic Coal Production Data: 2001,,,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons),Average Employees,Labor Hours
2001,103197,Wegra Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Beauty Coal Co,"Post Office Box 147, Sumiton, AL 35148",,"40,625",6,"9,360"
2001,102639,Hickory Grove,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Mann Steel Products        .,"P O Box 531044, Birmingham, AL 35253",,"241,721",24,"62,492"
2001,103128,Spring Branch Mine,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Haley Brothers & Partridge Coa,"P.O. Box 322, Haleyville, AL 35565",,"60,609",8,"20,515"
2001,103207,Crossroads,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"P.O. Box 351, Lynn, AL 35575",,"20,132",4,"5,722"
2001,5000030,Usibelli,Alaska,Yukon-Koyukuk,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc.,"P.O. Box 1000, Healy, AK 99743",,"1,514,241",119,"252,841"
2001,200533,Black Mesa,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 605, Kayenta, AZ 86033",United Mine Workers of America,"4,933,468",254,"588,388"
2001,201047,Kayenta Preparation Plant,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Preparation Plant,"Black Mesa Pipeline, Inc.","1509 E. Butler Ave., Flagstaff, AZ 86001",United Mine Workers of America,0,36,"65,827"
2001,201195,Kayenta,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 605, Kayenta, AZ 86033",United Mine Workers of America,"8,484,056",408,"1,091,501"
2001,301650,Mine #2,Arkansas,Johnson,Interior,Mine closed by MSHA,Surface,Indepedent Producer Operator,Mine only,R & S Coal Company,"P.O. Box 377, Scranton, AR 72863",,"3,719",2,"4,000"
2001,301569,Penny #1,Arkansas,Sebastian,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936",,"9,643",2,"3,178"
2001,301736,Sebastian County Coal Mine,Arkansas,Sebastian,Interior,Mine closed by MSHA,Underground,Indepedent Producer Operator,Mine only,Mid-America Mining & Developme,"P.O. Box 312, Hartford, AR 72938",,"1,000",13,"26,557"
2001,503818,Terror Creek Loadout,Colorado,Delta,Uinta Region,Active,Underground,Operating Subsidiary,Preparation Plant,Terror Creek Company,"1840 Hwy 133, Paonia, CO 81428",,0,5,"8,996"
2001,504591,Bowie Mine #2,Colorado,Delta,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Bowie Resources Ltd,"P.O. Box 483, Paonia, CO 81428",,"5,388,989",201,"432,497"
2001,503455,Southfield Mine,Colorado,Fremont,Western,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,"Energy Fuels Coal, Inc.","P.O. Box 459, Florence, CO 81226",,562,6,"4,906"
2001,503013,Mcclane Canyon Mine,Colorado,Garfield,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,"Lodestar Energy, Inc","Hc 35 Box 370, Helper, UT 84526",,"323,007",21,"46,295"
