Historic Coal Production Data: 1991,,,,,,,,,,,,,
Source: The U.S. Energy Information Administration (EIA) and the U.S. Mine Safety and Health Administration,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Basin,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Production (short tons)
1991,102907,Pinhook Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P O Drawer P, Sumiton, AL 35148",Non-Union,"43,534"
1991,102914,Prospect Mine-Pit #26,Alabama,Walker,Appalachia Southern,Active,Surface,-,Mine only,Rand C Clark D.b.a. R C Enterp,"1403 Janna Street, Jasper, AL 35501",-,"33,679"
1991,102602,Black Pond Mine #6,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Central Mining, Inc.","P O Box 3052, Jasper, AL 35502",Non-Union,"129,950"
1991,102630,Hoggle Ridge Mine,Alabama,Winston,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,Haley Bros & Partridge Coal Co,"P O Box 322, Haleyville, AL 35565",Non-Union,"6,129"
1991,102639,Hickory Grove,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Mann Steel Products        .,"P O Box 531044, Birmingham, AL 35253",Non-Union,"245,228"
1991,102800,Big Bear,Alabama,Winston,Appalachia Southern,Inactive,Surface,Indepedent Producer Operator,Mine only,White Oak Mining Co. Inc.,"2870 Rocky Ridge Ste 110, Birmingham, AL 35243",-,"2,028"
1991,102846,Browns Creek Mine,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"New Acton Coal Mining Company,","300 Bolus Circle, Warrior, AL 35180",-,"118,413"
1991,102850,Natural Bridge Mine,Alabama,Winston,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Carbon Tech Mining Corporation,"P O Box 3506, Jasper, AL 35501",-,"56,053"
1991,5000030,Usibelli,Alaska,-,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc.,"P.O. Box 1000, Healy, AK 99743",Teamsters,"1,436,364"
1991,200533,Black Mesa,Arizona,Navajo,Western,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Coal Company,"1300 South Yale, Flagstaff, AZ 86001",United Mine Workers of America,"5,231,616"
1991,201195,Kayenta,Arizona,Navajo,Western,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Peabody Coal Company,"1300 South Yale, Flagstaff, AZ 86001",United Mine Workers of America,"7,971,245"
1991,301535,Seven C'S #2,Arkansas,Johnson,Interior,Active,Surface,Indepedent Producer Operator,Mine only,"Seven C'S Constr. Co., Inc.","P.O. Box 460, Coal Hill, AR 72832",Non-Union,"15,972"
1991,301650,Mine #2,Arkansas,Johnson,Interior,Active,Surface,Indepedent Producer Operator,Mine only,R&s Coal Co.,"P.O. Box 377, Scranton, AR 72863",Non-Union,"9,836"
1991,301719,Mine #2,Arkansas,Scott,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Russ & Sons Inc.,"P.O. Box 1609, Greenwood, AR 72936",Non-Union,"2,234"
1991,301550,Hilltop #3,Arkansas,Sebastian,Interior,Inactive,Surface,Indepedent Producer Operator,Mine only,"H.h.h. Mining Company, Inc.","Rt 4, Box 490, Van Buren, AR 72956",Non-Union,"17,536"
1991,301569,Penny #1,Arkansas,Sebastian,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936",Non-Union,"5,231"
1991,301708,Green Valley Coal Co. No. 1,Arkansas,Sebastian,Interior,Inactive,Surface,Indepedent Producer Operator,Mine only,"Green Valley Coal Co., Inc.","Route 1, Box 328, Greenwood, AR 72636",-,75
1991,301712,Mine No. 1,Arkansas,Sebastian,Interior,Inactive,Surface,Indepedent Producer Operator,Mine only,Johnson Coal Co.,"Rt 1, Box 45, Hackett, AR 72937",-,"1,101"
1991,405157,Jackson Valley Open Pit Lignit,California,Amador,,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Jackson Valley Energy Partners,"4655 Coal Mine Road, Ione, CA 95640",International Union of Operation Engineers,"56,604"
1991,504184,Cyrpus Orchard Valley West,Colorado,Delta,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Cyprus Coal Company,"P.O. Box 1299, Paonia, CO 81428",Non-Union,"901,843"
1991,503455,Southfield Mine,Colorado,Fremont,Western,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Energy Fuels Coal, Inc.","P.O. Box 449, Florence, CO 81226",Non-Union,"311,674"
1991,503793,Twin Pines No. 2 Coal Mine,Colorado,Fremont,Western,Active,Underground,Indepedent Producer Operator,Mine only,Twin Pines Inv Ltd/falcon Ener,"P.O. Box 187, Rockvale, CO 81244",Non-Union,"20,900"
1991,502421,Eastside Mine,Colorado,Garfield,Uinta Region,Active,Underground,-,Mine only,"Eastside Coal Company, Inc.","P.O. Box 161, Silt, CO 81652",Non-Union,57
1991,503013,Mcclane Canyon Mine,Colorado,Garfield,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,Salt Creek Mining Co.,"Box 70, Loma, CO 81524",Non-Union,"193,954"
1991,500259,O.c. Coal Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,O.c. Coal Mine,"Po Box 539, Gunnison, CO 81230",Non-Union,"2,898"
1991,503672,West Elk Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Mountain Coal Co.,"P.O. Box 591, Somerset, CO 81434",Non-Union,"715,847"
1991,503787,Bear #3 Mine,Colorado,Gunnison,Uinta Region,Active,Underground,Indepedent Producer Operator,Mine only,Bear Coal Company Inc.,"P.O. Box 518, Somerset, CO 81434",United Mine Workers of America,"518,182"
1991,504452,Sanborn Creek Mine,Colorado,Gunnison,Uinta Region,Active,Underground,-,Mine and Preparation Plant,Somerset,"P.O. Box 535, Somerset, CO 81434",-,"39,304"
1991,502674,Marr Strip,Colorado,Jackson,Western,Active,Surface,Indepedent Producer Operator,Mine only,Kerr Coal Company,"Box 487            ., Walden, CO 80480",Non-Union,"61,709"
1991,500266,King Coal Mine,Colorado,La Plata,Western,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"National King Coal, Inc","4424 County Road 120, Hesperus, CO 81326",Non-Union,"176,622"
1991,502820,Golden Eagle,Colorado,Las Animas,Western,Active,Underground,Operating Subsidiary,Mine only,Wyoming Fuel Company,"10250 Highway 12, Weston, CO 81091",United Mine Workers of America,"945,401"
1991,500281,Roadside Mine,Colorado,Mesa,Uinta Region,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Powderhorn Coal Company,"Caller Box 3034, Gillette, WY 82716",Non-Union,"221,128"
1991,501370,Eagle #5,Colorado,Moffat,Uinta Region,Active,Underground,Operating Subsidiary,Mine only,Cyprus Empire Corporation,"P.O. Box 68, Craig, CO 81626",United Mine Workers of America,"1,193,514"
1991,502838,Trapper Mine,Colorado,Moffat,Uinta Region,Active,Surface,Operating Subsidiary,Mine only,Trapper Mining Inc.,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,"2,107,092"
1991,502962,Colowyo Mine,Colorado,Moffat,Uinta Region,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Colowyo Coal Company,"5731 State Highway 13, Meeker, CO 81641",Non-Union,"4,207,636"
1991,500301,Dutch Creek Mine,Colorado,-,Uinta Region,Inactive,Underground,Indepedent Producer Operator,Mine only,"Midcontinent Resources, Inc.","P O Box 500, Carbondale, CO 81623",Non-Union,"30,546"
1991,503505,Deserado,Colorado,Rio Blanco,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Western Fuels-Utah Inc,"P.O Box 1067, Rangely, CO 81648",United Mine Workers of America,"1,111,662"
1991,500303,Edna Mine,Colorado,Routt,Uinta Region,Active,Surface,Operating Subsidiary,Mine only,Pittsburg & Midway Coal Mining,"P.O. Box 176, Oak Creek, CO 80467",United Mine Workers of America,"378,411"
1991,500304,Seneca Strip,Colorado,Routt,Uinta Region,Active,Surface,Operating Subsidiary,Mine only,Peabody Coal Company,"1300 South Yale, Flagstaff, AZ 86001",United Mine Workers of America,"1,478,632"
1991,503836,Foidel Creek Mine,Colorado,Routt,Uinta Region,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Twentymile Coal Company,"29515 Routt County Rd#27, Oak Creek, CO 80467",Non-Union,"3,217,132"
1991,1100585,Mine #10,Illinois,Christian,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Peabody Coal Company,"P.O. Box 1990, Henderson, KY 42420",United Mine Workers of America,"2,119,082"
